,index,methods
54,114551,"['xigema_check', 'amplitude_check_method', 'dynamic_threshold']"
55,114552,"['seven_check_method', 'sameperiod_seven_point_check_method', 'amplitude_check_method', 'dynamic_threshold']"
56,115929,"['seven_check_method', 'sameperiod_seven_point_check_method', 'amplitude_check_method', 'dynamic_threshold']"
57,118295,"['xigema_check', 'amplitude_check_method', 'dynamic_threshold']"
58,120543,"['xigema_check', 'amplitude_check_method', 'dynamic_threshold']"
59,121508,"['seven_check_method', 'sameperiod_seven_point_check_method', 'amplitude_check_method', 'dynamic_threshold']"
60,122202,"['xigema_check', 'amplitude_check_method', 'dynamic_threshold']"
61,123824,"['sameperiod_seven_point_check_method', 'amplitude_check_method', 'dynamic_threshold']"
62,123825,"['sameperiod_seven_point_check_method', 'amplitude_check_method', 'dynamic_threshold']"
63,124405,"['seven_check_method', 'sameperiod_seven_point_check_method', 'amplitude_check_method', 'dynamic_threshold']"
64,126482,"['xigema_check', 'amplitude_check_method', 'dynamic_threshold']"
65,126483,"['sameperiod_seven_point_check_method', 'amplitude_check_method', 'dynamic_threshold']"
66,126516,"['sameperiod_seven_point_check_method', 'amplitude_check_method', 'dynamic_threshold']"
67,126545,"['sameperiod_seven_point_check_method', 'amplitude_check_method', 'dynamic_threshold']"
68,126613,"['sameperiod_seven_point_check_method', 'amplitude_check_method', 'dynamic_threshold']"
69,126619,"['xigema_check', 'sameperiod_seven_point_check_method', 'dynamic_threshold']"
70,126620,"['xigema_check', 'sameperiod_seven_point_check_method', 'dynamic_threshold']"
71,126622,"['sameperiod_seven_point_check_method', 'amplitude_check_method', 'dynamic_threshold']"
72,127543,"['xigema_check', 'amplitude_check_method', 'dynamic_threshold']"
73,132036,"['xigema_check', 'amplitude_check_method', 'dynamic_threshold']"
74,132662,"['seven_check_method', 'sameperiod_seven_point_check_method', 'amplitude_check_method', 'dynamic_threshold']"
75,134064,"['seven_check_method', 'sameperiod_seven_point_check_method', 'amplitude_check_method', 'dynamic_threshold']"
76,135313,"['seven_check_method', 'sameperiod_seven_point_check_method', 'amplitude_check_method', 'dynamic_threshold']"
77,140530,"['sameperiod_seven_point_check_method', 'amplitude_check_method', 'dynamic_threshold']"
78,140895,"['seven_check_method', 'sameperiod_seven_point_check_method', 'amplitude_check_method', 'dynamic_threshold']"
79,141803,"['sameperiod_seven_point_check_method', 'amplitude_check_method', 'dynamic_threshold']"
80,142293,"['seven_check_method', 'sameperiod_seven_point_check_method', 'amplitude_check_method', 'dynamic_threshold']"
